idx,local_time,epoch,gps_ok,gps_ip,gps_stratum,gps_li,gps_refid,gps_offset_ms,gps_delay_ms,gps_disp_ms,gps_error,ali_ok,ali_ip,ali_stratum,ali_li,ali_refid,ali_offset_ms,ali_delay_ms,ali_disp_ms,ali_error,diff_gps_minus_ali_ms,clock,residual_ms,pps_fresh,stratum1
34,2026-09-14T10:33:59+08:00,1789353239.916553,1,10.81.127.143,1,0,GPSS,61.12098693847656,81.29119873046875,5.9967041015625,,1,203.107.6.88,2,0,0a892656,32.36842155456543,64.38302993774414,10.5133056640625,,28.752565383911133,LCK,0,True,True
35,2026-09-14T10:34:09+08:00,1789353249.917971,1,10.81.127.143,1,0,GPSS,25.975942611694336,13.267040252685547,5.9967041015625,,1,203.107.6.88,2,0,0a892656,28.77497673034668,86.99941635131836,10.4827880859375,,-2.7990341186523438,LCK,0,True,True
36,2026-09-14T10:34:19+08:00,1789353259.918068,1,10.81.127.143,1,0,GPSS,23.98991584777832,5.436420440673828,5.9967041015625,,1,203.107.6.88,2,0,0a892656,32.49776363372803,92.5757884979248,10.5438232421875,,-8.507847785949707,LCK,0,True,True
37,2026-09-14T10:34:29+08:00,1789353269.918473,1,10.81.127.143,1,0,GPSS,23.36251735687256,7.117033004760742,5.9967041015625,,0,ntp.aliyun.com,,,,,,,timed out,,LCK,0,True,True
38,2026-09-14T10:34:39+08:00,1789353279.921817,1,10.81.127.143,1,0,GPSS,25.81775188446045,11.711359024047852,5.9967041015625,,1,203.107.6.88,2,0,0a892656,23.464441299438477,103.47652435302734,10.4827880859375,,2.3533105850219727,LCK,0,True,True
39,2026-09-14T10:34:49+08:00,1789353289.921913,1,10.81.127.143,1,0,GPSS,40.52937030792236,38.86055946350098,5.9967041015625,,1,203.107.6.88,2,0,0a892656,40.74692726135254,90.62337875366211,10.5133056640625,,-0.21755695343017578,LCK,0,True,True
40,2026-09-14T10:34:59+08:00,1789353299.922259,1,10.81.127.143,1,0,GPSS,23.632168769836426,6.117582321166992,5.9967041015625,,1,203.107.6.88,2,0,0a892656,32.73427486419678,87.09549903869629,10.498046875,,-9.102106094360352,LCK,0,True,True
41,2026-09-14T10:35:09+08:00,1789353309.922390,1,10.81.127.143,1,0,GPSS,28.288841247558594,15.003681182861328,5.9967041015625,,1,203.107.6.88,2,0,0a892656,44.9216365814209,89.51711654663086,10.528564453125,,-16.632795333862305,LCK,0,True,True
42,2026-09-14T10:35:19+08:00,1789353319.922536,1,10.81.127.143,1,0,GPSS,24.82914924621582,8.536338806152344,5.9967041015625,,1,203.107.6.88,2,0,0a892656,20.42520046234131,65.6578540802002,10.5438232421875,,4.403948783874512,LCK,0,True,True
43,2026-09-14T10:35:29+08:00,1789353329.922683,1,10.81.127.143,1,0,GPSS,22.252559661865234,9.431838989257812,5.9967041015625,,1,203.107.6.88,2,0,0a892656,28.765439987182617,101.49192810058594,10.467529296875,,-6.512880325317383,LCK,0,True,True
44,2026-09-14T10:35:39+08:00,1789353339.922958,1,10.81.127.143,1,0,GPSS,29.82795238494873,17.508745193481445,5.9967041015625,,1,203.107.6.88,3,0,646b1972,25.30372142791748,49.5150089263916,10.07080078125,,4.52423095703125,LCK,0,True,True
45,2026-09-14T10:35:49+08:00,1789353349.923402,1,10.81.127.143,1,0,GPSS,23.76258373260498,5.962610244750977,5.9967041015625,,1,203.107.6.88,2,0,0a892656,30.100464820861816,75.03771781921387,10.498046875,,-6.337881088256836,LCK,0,True,True
46,2026-09-14T10:35:59+08:00,1789353359.923532,1,10.81.127.143,1,0,GPSS,23.97608757019043,6.211280822753906,5.9967041015625,,1,203.107.6.88,2,0,0a892656,32.13024139404297,65.59610366821289,10.528564453125,,-8.154153823852539,LCK,0,True,True
47,2026-09-14T10:36:09+08:00,1789353369.923699,1,10.81.127.143,1,0,GPSS,24.12092685699463,5.26738166809082,5.9967041015625,,1,203.107.6.88,2,0,0a892656,22.54962921142578,80.82771301269531,10.5133056640625,,1.5712976455688477,LCK,0,True,True
48,2026-09-14T10:36:19+08:00,1789353379.924458,1,10.81.127.143,1,0,GPSS,24.0248441696167,5.409955978393555,5.9967041015625,,1,203.107.6.88,3,0,646b1972,30.1663875579834,69.49806213378906,10.040283203125,,-6.141543388366699,LCK,0,True,True
49,2026-09-14T10:36:29+08:00,1789353389.924679,1,10.81.127.143,1,0,GPSS,23.995280265808105,5.893945693969727,5.9967041015625,,1,203.107.6.88,2,0,0a892656,33.136963844299316,65.35935401916504,10.5438232421875,,-9.141683578491211,LCK,0,True,True
50,2026-09-14T10:36:39+08:00,1789353399.925116,1,10.81.127.143,1,0,GPSS,24.240732192993164,6.639957427978516,5.9967041015625,,1,203.107.6.88,2,0,0a892656,32.367587089538574,63.96746635437012,10.55908203125,,-8.12685489654541,LCK,0,True,True
51,2026-09-14T10:36:49+08:00,1789353409.925250,1,10.81.127.143,1,0,GPSS,4.334568977355957,46.408891677856445,5.9967041015625,,0,ntp.aliyun.com,,,,,,,timed out,,LCK,0,True,True
52,2026-09-14T10:36:59+08:00,1789353419.925315,1,10.81.127.143,1,0,GPSS,24.761438369750977,7.14111328125,5.9967041015625,,1,203.107.6.88,2,0,0a892656,27.85050868988037,74.06401634216309,10.498046875,,-3.0890703201293945,LCK,0,True,True
53,2026-09-14T10:37:09+08:00,1789353429.925431,1,10.81.127.143,1,0,GPSS,25.510668754577637,8.878946304321289,5.9967041015625,,1,203.107.6.88,2,0,0a892656,34.203290939331055,85.63470840454102,10.5133056640625,,-8.692622184753418,LCK,0,True,True
54,2026-09-14T10:37:19+08:00,1789353439.925855,1,10.81.127.143,1,0,GPSS,24.16074275970459,6.48808479309082,5.9967041015625,,1,203.107.6.88,3,0,646b1972,25.96604824066162,64.25595283508301,10.0555419921875,,-1.8053054809570312,LCK,0,True,True
55,2026-09-14T10:37:29+08:00,1789353449.926284,1,10.81.127.143,1,0,GPSS,52.6278018951416,68.98021697998047,5.9967041015625,,1,203.107.6.88,3,0,646b1972,35.00819206237793,79.5297622680664,10.0250244140625,,17.619609832763672,LCK,0,True,True
56,2026-09-14T10:37:39+08:00,1789353459.926572,1,10.81.127.143,1,0,GPSS,23.366212844848633,7.464408874511719,5.9967041015625,,1,203.107.6.88,3,0,646b1972,30.202150344848633,51.854610443115234,10.1318359375,,-6.8359375,LCK,0,True,True
57,2026-09-14T10:37:49+08:00,1789353469.926880,1,10.81.127.143,1,0,GPSS,24.348855018615723,7.317304611206055,5.9967041015625,,1,203.107.6.88,3,0,646b1972,32.89365768432617,60.152530670166016,10.1470947265625,,-8.54480266571045,LCK,0,True,True
58,2026-09-14T10:37:59+08:00,1789353479.927444,1,10.81.127.143,1,0,GPSS,23.459315299987793,7.996797561645508,5.9967041015625,,1,203.107.6.88,3,0,646b1972,31.734943389892578,62.78181076049805,10.1470947265625,,-8.275628089904785,LCK,0,True,True
59,2026-09-14T10:38:09+08:00,1789353489.927515,1,10.81.127.143,1,0,GPSS,23.780107498168945,9.42087173461914,5.9967041015625,,1,203.107.6.88,2,0,0a892656,25.70176124572754,45.53985595703125,10.528564453125,,-1.9216537475585938,LCK,0,True,True
60,2026-09-14T10:38:19+08:00,1789353499.927802,1,10.81.127.143,1,0,GPSS,23.798227310180664,6.101131439208984,5.9967041015625,,1,203.107.6.88,2,0,0a892656,35.526275634765625,69.67639923095703,10.467529296875,,-11.728048324584961,LCK,0,True,True
